POLE_ID,P_ALIAS,P_NAME,P_NAME_POR,P_NAME_EN,SID,ALIAS,NAME,NAME_POR,NAME_EN,ROUTE_NOS,lng,lat
870,T326_4,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,560,T326,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,"30,34,MT2",113.54600099251225,22.15714239809699
871,T326_5,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,560,T326,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,"11,22,28A,33",113.54624255961792,22.157143904481647
875,M137_1,內港客運碼頭,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,563,M137,內港客運碼頭,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,"10,18,18B,2,3A,5,N3",113.53564681939011,22.19441130260571
880,M144_1,水坑尾/天神巷,CAMPO / TRAVESSA DOS ANJOS,CAMPO / TRAVESSA DOS ANJOS,564,M144,水坑尾/天神巷,CAMPO / TRAVESSA DOS ANJOS,CAMPO / TRAVESSA DOS ANJOS,"2,2A",113.54338090594813,22.193529034322673
881,M144_2,水坑尾/天神巷,CAMPO / TRAVESSA DOS ANJOS,CAMPO / TRAVESSA DOS ANJOS,564,M144,水坑尾/天神巷,CAMPO / TRAVESSA DOS ANJOS,CAMPO / TRAVESSA DOS ANJOS,"12,22,25,25B,N2",113.54338270377784,22.193772417173125
883,M144_3,水坑尾/天神巷,CAMPO / TRAVESSA DOS ANJOS,CAMPO / TRAVESSA DOS ANJOS,564,M144,水坑尾/天神巷,CAMPO / TRAVESSA DOS ANJOS,CAMPO / TRAVESSA DOS ANJOS,"16,16S,5,9,9A",113.5433938813219,22.193799335755354
887,M100_1,水坑尾/高可寧大宅,CAMPO / MANSÃO DO KOU HO NENG,CAMPO / MANSÃO DO KOU HO NENG,565,M100,水坑尾/高可寧大宅,CAMPO / MANSÃO DO KOU HO NENG,CAMPO / MANSÃO DO KOU HO NENG,"7,8",113.54382491390663,22.194379649047946
889,T391_1,霍英東馬路/科技大學,AV. DR. HENRY FOK / M. U. S. T.,AV. DR. HENRY FOK / M. U. S. T.,566,T391,霍英東馬路/科技大學,AV. DR. HENRY FOK / M. U. S. T.,AV. DR. HENRY FOK / M. U. S. T.,"50,N6",113.5668984589011,22.150399842106506
890,T385_1,蓮花路/蓮花圓形地-1,EST. F. DE LÓTUS/ROTUNDA F. DE LÓTUS-1,EST. F. DE LÓTUS/ROTUNDA F. DE LÓTUS-1,567,T385,蓮花路/蓮花圓形地-1,EST. F. DE LÓTUS/ROTUNDA F. DE LÓTUS-1,EST. F. DE LÓTUS/ROTUNDA F. DE LÓTUS-1,"25B,50,51,59,MT4,N5",113.5677634356696,22.13844085197244
892,M172_1,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"101,101XS",113.54364349840363,22.189269787747612
893,M172_2,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"11,21A,21AT,3A,N2",113.54360727947609,22.189386413620486
894,M172_3,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"26A,33,8A,N1A",113.54357571360576,22.189496254060824
895,M172_4,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"6B,9",113.54339602003411,22.189464711974306
896,M172_5,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"23,32,9A,N1B",113.54341968984674,22.189373213001776
897,M172_6,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"3BX,3X",113.54344611143362,22.18925321471075
898,M172_7,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"71,73",113.54336216146172,22.189351122482677
899,M172_8,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"50,52,N3,N5",113.54333602327964,22.189453907433883
906,M172_10,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"39,50B,MT5",113.54325500025669,22.189213480655038
907,M172_11,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"22,28A,33,N2",113.5433435819533,22.189161632999063
908,M172_12,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"11,MT2",113.54307132941462,22.189377112884358
909,M172_13,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"25B,MT1",113.54309491335864,22.1892639866954
910,M172_14,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"25,25AX",113.54319224155998,22.189132583939077
912,M172_15,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"21A,21AT,26A,26AT",113.54309278840917,22.18913679947457
913,M172_16,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"22,25,25AX,25B,28A,2AS,3AX,73",113.54315061314313,22.18895455802211
917,M172_9,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"29,3A,6B,H1",113.54318438468222,22.189418822609188
922,M172_17,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,569,M172,亞馬喇前地,PRAÇA FERREIRA AMARAL,PRAÇA FERREIRA AMARAL,"2A,7",113.54363657791964,22.18901139046382
924,C650_1,石排灣馬路/擎天匯,EST. SEAK PAI VAN / PRAIA PARK,EST. SEAK PAI VAN / PRAIA PARK,571,C650,石排灣馬路/擎天匯,EST. SEAK PAI VAN / PRAIA PARK,EST. SEAK PAI VAN / PRAIA PARK,"52,55",113.56046333967542,22.131425888740512
936,T372_1,蓮花路/新濠影匯,EST. F. DE LÓTUS / STUDIO CITY,EST. F. DE LÓTUS / STUDIO CITY,578,T372,蓮花路/新濠影匯,EST. F. DE LÓTUS / STUDIO CITY,EST. F. DE LÓTUS / STUDIO CITY,"102,25B,25BS,50,701X,N6",113.56001008338647,22.13976537108623
940,T426_1,澳大河隧/高爾夫俱樂部,TÚNEL S. DA UM / CLUBE DE GOLFE,TÚNEL S. DA UM / GOLF CLUB,580,T426,澳大河隧/高爾夫俱樂部,TÚNEL S. DA UM / CLUBE DE GOLFE,TÚNEL S. DA UM / GOLF CLUB,"52,55",113.55257527062251,22.134924597660383
942,T427_1,澳大河隧/西堤馬路,TÚNEL S. DA UM / EST. DO DIQUE OESTE,TÚNEL S. DA UM / EST. DO DIQUE OESTE,581,T427,澳大河隧/西堤馬路,TÚNEL S. DA UM / EST. DO DIQUE OESTE,TÚNEL S. DA UM / EST. DO DIQUE OESTE,"52,55",113.55237857045957,22.13397626048786
944,T401_1,雞頸馬路/孝思-1,EST. DA PONTA DA CABRITA / HAU SI-1,EST. DA PONTA DA CABRITA / HAU SI-1,582,T401,雞頸馬路/孝思-1,EST. DA PONTA DA CABRITA / HAU SI-1,EST. DA PONTA DA CABRITA / HAU SI-1,37,113.56594489391141,22.16176515265993
945,T410_1,雞頸馬路/孝思-2,EST. DA PONTA DA CABRITA / HAU SI-2,EST. DA PONTA DA CABRITA / HAU SI-2,583,T410,雞頸馬路/孝思-2,EST. DA PONTA DA CABRITA / HAU SI-2,EST. DA PONTA DA CABRITA / HAU SI-2,37,113.5687457653443,22.160616867819463
946,T419_1,機場大馬路/永利皇宮,AV. DO AEROPORTO / WYNN PALACE,AV. DO AEROPORTO / WYNN PALACE,584,T419,機場大馬路/永利皇宮,AV. DO AEROPORTO / WYNN PALACE,AV. DO AEROPORTO / WYNN PALACE,"35,50B,51,59,MT4",113.57226948169684,22.15007230095285
947,T418_1,機場大馬路/輕軌車廠,AV. DO AEROPORTO / OFICINA DO METRO LIGEIRO,AV. DO AEROPORTO / OFICINA DO METRO LIGEIRO,585,T418,機場大馬路/輕軌車廠,AV. DO AEROPORTO / OFICINA DO METRO LIGEIRO,AV. DO AEROPORTO / OFICINA DO METRO LIGEIRO,"35,50B,51,59,MT4",113.57322451849035,22.148967997285563
953,M120_2,筷子基街/廣大中學,RUA DE FÁI CHI KEI / ESCOLA KWONG TAI,RUA DE FÁI CHI KEI / ESCOLA KWONG TAI,588,M120,筷子基街/廣大中學,RUA DE FÁI CHI KEI / ESCOLA KWONG TAI,RUA DE FÁI CHI KEI / ESCOLA KWONG TAI,1A,113.53905439871416,22.205949070893144
954,M21_2,青洲/嘉應花園,CONS. BORJA/KA IENG,CONS. BORJA/KA IENG,15,M21,青洲/嘉應花園,CONS. BORJA/KA IENG,CONS. BORJA/KA IENG,"101,1A,23,26A,27,28B,8",113.54353632430812,22.210709018994798
956,M7_1,關閘馬路,ISTMO F.AMARAL,ISTMO F.AMARAL,590,M7,關閘馬路,ISTMO F.AMARAL,ISTMO F.AMARAL,"3,3X",113.54864734287821,22.212807579299575
957,M7_2,關閘馬路,ISTMO F.AMARAL,ISTMO F.AMARAL,590,M7,關閘馬路,ISTMO F.AMARAL,ISTMO F.AMARAL,"16,16S",113.54861504642965,22.212586333712952
958,M7_3,關閘馬路,ISTMO F.AMARAL,ISTMO F.AMARAL,590,M7,關閘馬路,ISTMO F.AMARAL,ISTMO F.AMARAL,"17,25",113.54857733214166,22.212330573425945
960,M273_1,青茂/青葱大廈,QINGMAO/EDIFÍCIO CHENG CHONG,QINGMAO/EDIFÍCIO CHENG CHONG,592,M273,青茂/青葱大廈,QINGMAO/EDIFÍCIO CHENG CHONG,QINGMAO/EDIFÍCIO CHENG CHONG,"23,27,29,8A",113.54118895270119,22.212451745528234
961,M6_1,青茂/鴨涌河變電站,QINGMAO/SUBESTAÇÃO CANAL DOS PATOS,QINGMAO/SUBESTAÇÃO CANAL DOS PATOS,593,M6,青茂/鴨涌河變電站,QINGMAO/SUBESTAÇÃO CANAL DOS PATOS,QINGMAO/SUBESTAÇÃO CANAL DOS PATOS,"27,29,8A,H2",113.54047153706335,22.212624691252252
964,M65_1,青茂/青洲坊,QINGMAO/BAIRRO DA ILHA VERDE,QINGMAO/BAIRRO DA ILHA VERDE,595,M65,青茂/青洲坊,QINGMAO/BAIRRO DA ILHA VERDE,QINGMAO/BAIRRO DA ILHA VERDE,"51A,61,H2,MT4,N1A",113.5419121088767,22.211750957264467
965,M60_1,青茂/何賢紳士馬路,QINGMAO/AV. DO COMENDADOR HO YIN,QINGMAO/AV. DO COMENDADOR HO YIN,596,M60,青茂/何賢紳士馬路,QINGMAO/AV. DO COMENDADOR HO YIN,QINGMAO/AV. DO COMENDADOR HO YIN,"3X,51A,61,MT4,N1A,N1B,N2",113.54150811545433,22.21145531867735
968,T373_2,偉龍/科技大學,WAI LONG/M.U.S.T.,WAI LONG/M.U.S.T.,298,T373,偉龍/科技大學,WAI LONG/M.U.S.T.,WAI LONG/M.U.S.T.,"26,51A,MT1",113.56482678860725,22.151738211820607
972,M33_1,俾利喇/望德樓,XAVIER PEREIRA / EDF. MONG TAK,XAVIER PEREIRA / EDF. MONG TAK,599,M33,俾利喇/望德樓,XAVIER PEREIRA / EDF. MONG TAK,XAVIER PEREIRA / EDF. MONG TAK,"12,19,22,7",113.55091222750701,22.207413889646375
973,M238_1,黑沙環海邊馬路,EST. MARGINAL DAAREIA PRETA,EST. MARGINAL DAAREIA PRETA,600,M238,黑沙環海邊馬路,EST. MARGINAL DAAREIA PRETA,EST. MARGINAL DAAREIA PRETA,MT3,113.55356184620017,22.207577335147096
