NETWORK_ID,ROUTE_NOS,lng,lat
5660,"101XS,17T,25,26A,3,33,5",,
5664,"18A,2A",,
5669,"10,1A,2,28B,29,34,6A,H2",,
5674,"10,1A,2,27,28B,29,34,6A,H2,MT3",,
5683,"10,101,101XS,11,18,18A,18B,19,2,21A,21AT,26A,3,33,3A,3X,4,5,6A,8A,N1A,N3",,
5680,"10,18,18A,18B,19,2,3,4,5,6A",,
5690,"10,1A,28B,29,H2",,
5696,"12,19,2,22,28C,34,6A",,
5701,"17S,18A,27,2A,30X,3A,7",,
5698,"27,7",,
5728,"101,23,26,26A,28B,5X,8,8A,H2,N1A,N1B,N2",,
5730,"101,1A,23,26,26A,28B,32,33,4,5X,8,8A,H2,N1A,N1B,N2",,
5731,"1A,32,33,4",,
5737,"17,17T,4,8A",,
5741,"12,3A,56,60",,
5742,"12,3A,56,60,8",,
5743,"10B,28C,29,8",,
5752,"12,17S,3A,3AX,60",,
5756,"23,28C,5X,65,8,H3,N2",,
5767,"101XS,102,12,23,25AX,29,2AS,39,3A,3AX,3BX,50,50B,5X,65,7,73,8,MT1,MT2,MT5,N1A,N2",,
5770,"10,102,10B,12,22,23,25,25AX,25B,28A,29,2AS,3,32,39,3A,3AX,3BX,50,50B,5X,65,6B,7,73,8,H1,H3,MT1,MT2,MT5,N1B,N2",,
5775,"101XS,102,12,23,25AX,29,2AS,39,3A,3AX,3BX,50,50B,7,73,MT1,MT2,MT5,N1A,N2",,
5777,"5X,65,8",,
5784,"10,3,5,6A",,
5782,"22,25,25B,8,9,9A,N2",,
5788,7,,
5789,"7,8",,
5791,"18A,8",,
5793,18,,
5794,"18,18A,8",,
5801,"10,1A,2,28B,29,34,6A,H2",,
5799,"12,18A,19,22,8",,
5816,"1,101,1A,26A,27,28B,33,8,H2,N1B",,
5832,"17,17T,19,4,8A",,
5833,"17T,19,4",,
5830,"17,8A",,
5838,"12,17T,18,18A,18B,19,2,22,25,25B,2A,4,9,9A,H2",,
5839,"12,17T,18,18A,18B,19,2,22,25,25B,2A,4,8A,9,9A,H2",,
5835,8A,,
5836,8A,,
5851,"1,101,101XS,26A,3,33,3X,4,61,6A,71S,MT4,N1A",,
5848,"18A,18B,19,26,8A",,
5852,"18A,18B,19,26,8A",,
5854,18,,
5858,8,,
5859,"17T,18A,26,8,8A",,
5861,"17,18,18B,19",,
5862,"17,17T,18,18A,18B,19,26,8A",,
5856,"17T,18A,26,8A",,
5867,"16,28C",,
5873,"16S,17,25,26,26A,3,32,33,3X,4,5,65,8,8A,9,9A,N2",,
5874,"16,16S,17,25,26,26A,28C,3,32,33,3X,4,5,65,8,8A,9,9A,N2",,
5871,"16,28C",,
5877,6A,,
5878,"28C,32,5,65,6A,8,9,9A,N2",,
5880,"1,16,16S,26,26A,3,33,3X,N1B",,
5875,"28C,32,5,65,8,9,9A,N2",,
5884,"12,17,17T,18,18A,18B,19,2,22,23,25,25B,2A,4,56,H2",,
5887,6A,,
5888,"28C,32,5,65,6A,9,9A,N2",,
